team,current_elo
Aston Villa,1667.9788828826777
West Ham,1544.1583638566315
Blackburn,1375.0756710448363
Everton,1636.9150932749408
Bolton,1420.9845046680905
Fulham,1581.8141928656216
Chelsea,1638.3002681832984
West Brom,1424.0747641543257
Sunderland,1562.9176326118627
Birmingham,1419.9020975114115
Tottenham,1455.4224067155055
Man City,1776.1083825940716
Wigan,1449.7897298658245
Blackpool,1417.564636688181
Wolves,1476.2744963592168
Stoke,1468.3962099019657
Liverpool,1671.1381896300552
Arsenal,1792.9955862455272
Man United,1657.4411485100152
Newcastle,1591.6169415070442
QPR,1378.0177745988944
Norwich,1341.3033556673768
Swansea,1453.0690950856579
Reading,1387.8895508316145
Southampton,1320.408370485242
Cardiff,1420.2266455111444
Hull,1437.0876909224899
Crystal Palace,1599.0644370614245
Leicester,1415.8445834811794
Burnley,1409.8510295722974
Bournemouth,1646.4492877562682
Watford,1365.3260515927666
Middlesbrough,1413.057606835734
Brighton,1650.8004531773393
Huddersfield,1326.7850893013142
Sheffield United,1338.6495685447735
Leeds,1562.880458538702
Brentford,1627.4241771592294
Nott'm Forest,1560.9503004789674
Luton,1416.6459564946817
Ipswich,1399.3993178318005
