date,team,gf,ga,shots,sot,venue,win,draw,loss,points,gd,cs,gd_last_5,gd_last_10,sot_last_5,sot_last_10,cs_last_5,cs_last_10,gf_last_5_home,gf_last_5_away,ga_last_5_home,ga_last_5_away,win_last_5_home,win_last_5_away,points_last_5_home,points_last_5_away,cum_gf,cum_ga,cum_points
2010-08-15,Arsenal,1,1,14,7,away,0,1,0,1,0,0,,,,,,,,,,,,,,,,,
2010-08-21,Arsenal,6,0,26,16,home,1,0,0,3,6,1,0.0,0.0,7.0,7.0,0.0,0.0,,,,,,,,,1.0,1.0,1.0
2010-08-28,Arsenal,2,1,14,9,away,1,0,0,3,1,0,3.0,3.0,11.5,11.5,0.5,0.5,,1.0,,1.0,,0.0,,1.0,3.5,0.5,2.0
2010-09-11,Arsenal,4,1,23,14,home,1,0,0,3,3,0,2.3333333333333335,2.3333333333333335,10.666666666666666,10.666666666666666,0.3333333333333333,0.3333333333333333,6.0,,0.0,,1.0,,3.0,,3.0,0.6666666666666666,2.3333333333333335
2010-09-18,Arsenal,1,1,16,7,away,0,1,0,1,0,0,2.5,2.5,11.5,11.5,0.25,0.25,,1.5,,1.0,,0.5,,2.0,3.25,0.75,2.5
2010-09-25,Arsenal,2,3,24,12,home,0,0,1,0,-1,0,2.0,2.0,10.6,10.6,0.2,0.2,5.0,,0.5,,1.0,,3.0,,2.8,0.8,2.2
2010-10-03,Arsenal,0,2,13,5,away,0,0,1,0,-2,0,1.8,1.5,11.6,10.833333333333334,0.2,0.16666666666666666,,1.3333333333333333,,1.0,,0.3333333333333333,,1.6666666666666667,2.6666666666666665,1.1666666666666667,1.8333333333333333
2010-10-16,Arsenal,2,1,18,13,home,1,0,0,3,1,0,0.2,1.0,9.4,10.0,0.0,0.14285714285714285,4.0,,1.3333333333333333,,0.6666666666666666,,2.0,,2.2857142857142856,1.2857142857142858,1.5714285714285714
2010-10-24,Arsenal,3,0,12,8,away,1,0,0,3,3,1,0.2,1.0,10.2,10.375,0.0,0.125,,1.0,,1.25,,0.25,,1.25,2.25,1.25,1.75
2010-10-30,Arsenal,1,0,20,13,home,1,0,0,3,1,1,0.2,1.2222222222222223,9.0,10.11111111111111,0.2,0.2222222222222222,3.5,,1.25,,0.75,,2.25,,2.3333333333333335,1.1111111111111112,1.8888888888888888
